#ajouter .

DET;les
DET;le
DET;des
DET;un

PRNOBJ;le
PRNOBJ;les
PRNOBJ;l'

NOMC;bien
NOMC;est
NOMC;biens
NOMC;mal
NOMC;gens
NOMC;un
NOMC;pas
NOMC;fait
NOMC;autres

ADV;bien
ADV;peu
ADV;mal
ADV;ne pas

ADJ;bien
ADJ;fait
ADJ;est
ADJ;mal
ADJ;ce
ADJ;un

PRNSUJ;que
PRNSUJ;qu'
PRNSUJ;il
PRNSUJ;je
PRNSUJ;j'
PRNSUJ;ce
PRNSUJ;autres

PRNREL;que
PRNREL;qu'

VRB;fait
VRB;font
VRB;est
VRB;ai
VRB;ait
VRB;a
VRB;faire

PPAS;fait

DETPREP;des
DETPREP;du

AUX;est
AUX;ai
AUX;ait
AUX;a

PREP;de
PREP;à

SUB;bien que
SUB;bien qu'

PONCTSEG;,
PONCTFIN;.

#1er phrase
#Le bien qu’il fait, il le fait bien.
S;PROP;PONCTFIN
PROP;PRNSUJ;VRB
PROP;GNAPP;PROP
PROP;PRNSUJ;GV
PROPREL;PRNREL;PROP
GN;DET;NOMC
GN;GN;PROPREL
GNAPP;GN;PONCTSEG
GV;PRNOBJ;VRB
GV;GV;ADV

#2eme phrase
#Le fait est que j'ai peu de biens.

ADVQ;peu
DETPREP;ADVQ;PREP
GNPREP;DETPREP;NOMC
DETPREP;ADVQ;PREP
GV;V;GNPREP
GV;GV;GNPREP
GV;VRB;PROPREL
PROP;GN;GV

#3eme phrase
#J'ai bien du mal à faire ce que les autres font bien. 
PRNREL;ce que
GV;VRB;ADV
PROPREL;PRNREL;PROP
PROPSUB;PRNREL;GV
PROPSUB;SUB;PROP
GVCOMP;PREP;VRB
GN;GNPREP;GVCOMP
GV;GV;GN
PROP;PROP;PROPREL

#4eme phrase
#Bien des gens ont fait un peu de bien.

#5eme phrase
#Bien qu' il ait fait du bien, il ne l' a pas bien fait. 
ADVQ;bien
ADVD;pas
ADVG;ne
GV;AUX;VRB
SUBPROP;SUB;PROP
SUBPROPAPP;SUBPROP;PONCTSEG
GV;ADV;VRB
GVD;ADVD;GV
GV;AUX;GVD
GV;PRNOBJ;GV
GV;ADVG;GV
PROP;SUBPROPAPP;PROP
